Time,<1,1-4,5-9,10-14,15-19,20-29,30+
2014-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02,0.0,0.0,0.0,0.0,0.0,0.0,1.28615543
2015-03,0.0,0.0,0.0,0.0,0.0489881,0.0,1.28615543
2015-04,0.0,0.0,0.0,0.0,0.02449405,0.0,0.0
2015-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03,0.0,0.0,0.0,0.0,0.02425791,0.0,0.0
2016-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11,0.0,0.0,0.0,0.0,0.02425791,0.0,0.0
2016-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04,0.0,0.0,0.0,0.0,0.02403642,0.0,0.0
2017-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,0.0,0.0,0.0,0.0,0.02403642,0.0,0.0
2017-11,0.0,0.0,0.0,0.0,0.02403642,0.0,0.0
2017-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02,0.0,0.0,0.0,0.0,0.0238187,0.0,0.0
2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,0.0,0.0,0.0,0.0,0.0,0.0,1.30135301
2018-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02,0.0,0.0,0.0,0.0,0.0238187,0.0,0.0
2019-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,0.0,0.0,0.0,0.0,0.0238187,0.0,0.0
2019-09,0.0,0.0,0.0,0.0,0.0,0.0,1.30135301
2019-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
